,symbol,Date,Open,High,Low,Close/Last,Volume,Dividends,Stock Splits
2489,ON,2015-03-24,12.670000076293944,12.670000076293944,12.359999656677246,12.380000114440918,8405000,0.0,0.0
2490,ON,2015-03-23,12.880000114440918,12.9399995803833,12.6899995803833,12.699999809265137,3117700,0.0,0.0
2491,ON,2015-03-20,12.850000381469728,12.960000038146973,12.75,12.93000030517578,5490700,0.0,0.0
2492,ON,2015-03-19,12.6899995803833,12.779999732971191,12.609999656677246,12.729999542236328,2683600,0.0,0.0
2493,ON,2015-03-18,12.609999656677246,12.800000190734863,12.489999771118164,12.760000228881836,3989800,0.0,0.0
2494,ON,2015-03-17,12.789999961853027,12.789999961853027,12.5,12.65999984741211,4504600,0.0,0.0
2495,ON,2015-03-16,12.59000015258789,12.850000381469728,12.550000190734863,12.84000015258789,5771200,0.0,0.0
2496,ON,2015-03-13,12.520000457763672,12.75,12.5,12.550000190734863,6032300,0.0,0.0
2497,ON,2015-03-12,12.670000076293944,12.729999542236328,12.550000190734863,12.65999984741211,6143200,0.0,0.0
2498,ON,2015-03-11,12.720000267028809,12.859999656677246,12.600000381469728,12.68000030517578,7069500,0.0,0.0
2499,ON,2015-03-10,12.779999732971191,12.899999618530272,12.670000076293944,12.739999771118164,4797300,0.0,0.0
2500,ON,2015-03-09,12.93000030517578,13.0600004196167,12.770000457763672,12.899999618530272,4789700,0.0,0.0
2501,ON,2015-03-06,13.0,13.149999618530272,12.829999923706056,12.899999618530272,7560600,0.0,0.0
2502,ON,2015-03-05,13.039999961853027,13.130000114440918,12.989999771118164,13.039999961853027,6049200,0.0,0.0
2503,ON,2015-03-04,12.770000457763672,13.039999961853027,12.75,13.020000457763672,7430900,0.0,0.0
2504,ON,2015-03-03,13.119999885559082,13.1899995803833,12.850000381469728,12.869999885559082,7074800,0.0,0.0
2505,ON,2015-03-02,12.84000015258789,13.3100004196167,12.81999969482422,13.15999984741211,12817200,0.0,0.0
2506,ON,2015-02-27,12.90999984741211,13.039999961853027,12.68000030517578,12.75,7390300,0.0,0.0
2507,ON,2015-02-26,12.300000190734863,13.06999969482422,12.300000190734863,12.859999656677246,18745400,0.0,0.0
2508,ON,2015-02-25,12.25,12.300000190734863,11.890000343322754,12.020000457763672,10657600,0.0,0.0
2509,ON,2015-02-24,12.039999961853027,12.34000015258789,11.989999771118164,12.239999771118164,6444800,0.0,0.0
2510,ON,2015-02-23,11.9399995803833,12.039999961853027,11.779999732971191,12.020000457763672,10867000,0.0,0.0
2511,ON,2015-02-20,11.949999809265137,12.079999923706056,11.770000457763672,12.020000457763672,9427800,0.0,0.0
2512,ON,2015-02-19,12.130000114440918,12.199999809265137,11.850000381469728,11.90999984741211,7429200,0.0,0.0
2513,ON,2015-02-18,12.020000457763672,12.229999542236328,11.93000030517578,12.15999984741211,6527900,0.0,0.0
2514,ON,2015-02-17,11.850000381469728,12.079999923706056,11.850000381469728,11.989999771118164,5725500,0.0,0.0
